date,spprice,dividend,earnings,infl,lrir10,realprice,realpricelag,realpricelag2,realpricelag3,realpricelag4,realdividend,realtotalreturn,realearnings,realtrscaledearnings,CAPE,TRCAPE,excessCAPE,bond,realbond,dp,dy,ep,de
01/01/1871,4.44,0.26,0.4,12.46,5.32,110.31,108.49,109.52,116.87,122.62,6.46,110.31,9.94,9.94,NA,NA,,1,1,17.08,5.86,11.1,65
02/01/1871,4.5,0.26,0.4,12.84,5.32,108.49,109.52,116.87,122.62,123.52,6.27,109.01,9.64,9.69,NA,NA,,1,0.97,17.31,5.78,11.25,65
03/01/1871,4.61,0.26,0.4,13.03,5.33,109.52,116.87,122.62,123.52,121.22,6.18,110.56,9.5,9.59,NA,NA,,1,0.96,17.73,5.64,11.53,65
04/01/1871,4.74,0.26,0.4,12.56,5.33,116.87,122.62,123.52,121.22,124.72,6.41,118.53,9.86,10,NA,NA,,1,1,18.23,5.49,11.85,65
05/01/1871,4.86,0.26,0.4,12.27,5.33,122.62,123.52,121.22,124.72,123.07,6.56,124.91,10.09,10.28,NA,NA,,1,1.03,18.69,5.35,12.15,65
06/01/1871,4.82,0.26,0.4,12.08,5.34,123.52,121.22,124.72,123.07,114.92,6.66,126.4,10.25,10.49,NA,NA,,1,1.05,18.54,5.39,12.05,65
07/01/1871,4.73,0.26,0.4,12.08,5.34,121.22,124.72,123.07,114.92,116.17,6.66,124.61,10.25,10.54,NA,NA,,1,1.06,18.19,5.5,11.83,65
08/01/1871,4.79,0.26,0.4,11.89,5.34,124.72,123.07,114.92,116.17,115.99,6.77,128.78,10.42,10.75,NA,NA,,1,1.08,18.42,5.43,11.98,65
09/01/1871,4.84,0.26,0.4,12.18,5.35,123.07,114.92,116.17,115.99,118.93,6.61,127.65,10.17,10.55,NA,NA,,1,1.06,18.62,5.37,12.1,65
10/01/1871,4.59,0.26,0.4,12.37,5.35,114.92,116.17,115.99,118.93,119.42,6.51,119.76,10.01,10.44,NA,NA,,1,1.05,17.65,5.66,11.48,65
11/01/1871,4.64,0.26,0.4,12.37,5.35,116.17,115.99,118.93,119.42,121.51,6.51,121.62,10.01,10.48,NA,NA,,1,1.05,17.85,5.6,11.6,65
12/01/1871,4.74,0.26,0.4,12.65,5.36,115.99,118.93,119.42,121.51,122.17,6.36,122,9.79,10.3,NA,NA,,1,1.03,18.23,5.49,11.85,65
